PROPERTY_ID,ADDRESS,PROPERTY_TYPE,LOT_SIZE,LATITUDE,LONGITUDE,TOTAL_VALUE,LAND_VALUE,BUILDING_VALUE,GROSS_AREA,YEAR_BUILT,BUILDING_AGE,NEIGHBORHOOD,USE_CODE,TAX_STATUS,CONDO_FLAG,SIZE_CATEGORY,DISTANCE_TO_RED_LINE,TRANSIT_ACCESSIBILITY,GENERAL_USE_CATEGORY,NEIGHBORHOOD_DENSITY
116-100,975 Massachusetts Ave,GAS-STATION,8000.0,42.36924384283507,-71.1104072622836,,,,,,,6.0,334,,False,Medium,945.724803046515,0.06010976981806146,Other,34
107-1,757 Massachusetts Ave,MULTIUSE-COM,6620.0,42.366644984190806,-71.10522158405588,,,,,,,6.0,31,,False,Medium,311.38943772487863,0.6905316542860452,Other,34
154-97,1735 Massachusetts Ave,RETAIL-STORE,5847.0,42.38433133073005,-71.1191380827456,,,,,,,8.0,325,,False,Small,451.8823015808328,0.5509055498176847,Commercial,24
169-5,1456 Massachusetts Ave,Cemeteries,85858.0,42.374918474673464,-71.11996840994294,,,,,,,10.0,953,City NonTax,False,Large,181.585730246992,0.8195345482641356,Other,5
133-31,1110-1114 Massachusetts Ave,MXD THREE-FM-RES,1566.0,42.3705659008631,-71.11386513286453,,,,,,,7.0,105,,False,Small,662.0349139271667,0.3420494570566106,Residential,51
173-65,1642 Massachusetts Ave,RETAIL-STORE,2701.0,42.38118292728112,-71.1200314633537,,,,,,,9.0,325,,False,Small,809.2353372785518,0.19575717483991234,Commercial,42
175-77,1718 Massachusetts Ave,GEN-OFFICE,3309.0,42.38381637402394,-71.12018178345885,,,,,,,9.0,340,,False,Small,525.4210440948625,0.4778204986419653,Commercial,42
93-78,516 Massachusetts Ave,RETAIL-STORE,7363.0,42.36397726166855,-71.10211680412284,,,,,,,5.0,325,,False,Medium,144.54160713685664,0.8563501306457268,Commercial,25
133-41,1168 Massachusetts Ave,MXD >8-UNIT-APT,4327.0,42.37134743324897,-71.11479005050094,,,,,,,7.0,112,,True,Small,529.9913706109727,0.4732783683865297,Multi-Family,51
90-70,599 Massachusetts Ave,RETAIL-OFFIC,5643.0,42.36517937940821,-71.10272443581609,,,,,,,4.0,345,,False,Small,74.95302513982136,0.9255093915010343,Commercial,23
160-58,1378 Massachusetts Ave,BANK,5455.0,42.37314238560565,-71.11900664134724,,,,,,,7.0,341,,False,Small,50.800546899432064,0.9495128629757137,Other,51
118-30,825 Massachusetts Ave,Government Operations,8334.0,42.36729312556447,-71.10632453836749,,,,,,,6.0,930,City NonTax,False,Medium,450.70702495243927,0.5520735756717491,Other,34
160-69,1390 Massachusetts Ave,RETAIL-OFFIC,12351.0,42.37329294812269,-71.11930939091572,,,,,,,7.0,345,,False,Medium,48.38423589135223,0.9519142667479944,Commercial,51
