PROPERTY_ID,ADDRESS,CORRIDOR_SEGMENT,TOTAL_VALUE,PRICE_PER_SQFT,RED_LINE_DISTANCE,NEAREST_STATION,ON_MASS_AVE,ON_MAIN_ST
8310,931 Massachusetts Ave,Mass Ave - Central,840400.0,895.9488272921109,814.8323485814711,Central Square,True,False
8311,931 Massachusetts Ave,Mass Ave - Central,624700.0,971.5396578538102,814.8323485814711,Central Square,True,False
8312,931 Massachusetts Ave,Mass Ave - Central,659700.0,1019.629057187017,814.8323485814711,Central Square,True,False
8313,931 Massachusetts Ave,Mass Ave - Central,727500.0,897.0406905055487,814.8323485814711,Central Square,True,False
8314,931 Massachusetts Ave,Mass Ave - Central,1001700.0,989.8221343873518,814.8323485814711,Central Square,True,False
8315,931 Massachusetts Ave,Mass Ave - Central,856200.0,890.0207900207901,814.8323485814711,Central Square,True,False
8316,931 Massachusetts Ave,Mass Ave - Central,840400.0,895.9488272921109,814.8323485814711,Central Square,True,False
8317,931 Massachusetts Ave,Mass Ave - Central,614700.0,955.9875583203732,814.8323485814711,Central Square,True,False
8318,931 Massachusetts Ave,Mass Ave - Central,616400.0,952.7047913446676,814.8323485814711,Central Square,True,False
8319,931 Massachusetts Ave,Mass Ave - Central,727500.0,897.0406905055487,814.8323485814711,Central Square,True,False
8320,931 Massachusetts Ave,Mass Ave - Central,2078700.0,1085.4830287206266,814.8323485814711,Central Square,True,False
8322,931 Massachusetts Ave,Mass Ave - Central,839700.0,924.7797356828194,814.8323485814711,Central Square,True,False
8323,931 Massachusetts Ave,Mass Ave - Central,609300.0,993.9641109298532,814.8323485814711,Central Square,True,False
8324,931 Massachusetts Ave,Mass Ave - Central,607100.0,977.6167471819646,814.8323485814711,Central Square,True,False
8325,931 Massachusetts Ave,Mass Ave - Central,727600.0,928.061224489796,814.8323485814711,Central Square,True,False
8326,931 Massachusetts Ave,Mass Ave - Central,769200.0,934.629404617254,814.8323485814711,Central Square,True,False
8327,931 Massachusetts Ave,Mass Ave - Central,904300.0,929.393627954779,814.8323485814711,Central Square,True,False
8328,931 Massachusetts Ave,Mass Ave - Central,675100.0,954.8797736916548,814.8323485814711,Central Square,True,False
8329,931 Massachusetts Ave,Mass Ave - Central,680500.0,967.9943100995732,814.8323485814711,Central Square,True,False
8330,931 Massachusetts Ave,Mass Ave - Central,786500.0,955.6500607533414,814.8323485814711,Central Square,True,False
8331,931 Massachusetts Ave,Mass Ave - Central,941500.0,967.6258992805756,814.8323485814711,Central Square,True,False
8332,931 Massachusetts Ave,Mass Ave - Central,716400.0,1013.2956152758132,814.8323485814711,Central Square,True,False
8333,931 Massachusetts Ave,Mass Ave - Central,720800.0,1025.3200568990042,814.8323485814711,Central Square,True,False
8334,931 Massachusetts Ave,Mass Ave - Central,843100.0,1024.422843256379,814.8323485814711,Central Square,True,False
8335,931 Massachusetts Ave,Mass Ave - Central,945200.0,971.4285714285714,814.8323485814711,Central Square,True,False
8336,931 Massachusetts Ave,Mass Ave - Central,764500.0,1081.3295615275813,814.8323485814711,Central Square,True,False
8337,931 Massachusetts Ave,Mass Ave - Central,711500.0,1012.091038406828,814.8323485814711,Central Square,True,False
8338,931 Massachusetts Ave,Mass Ave - Central,1093000.0,910.8333333333334,814.8323485814711,Central Square,True,False
8339,931 Massachusetts Ave,Mass Ave - Central,2208400.0,1132.5128205128206,814.8323485814711,Central Square,True,False
8383,907 Massachusetts Ave,Mass Ave - Central,3095700.0,288.50885368126745,702.3656030114271,Central Square,True,False
8441,891 Massachusetts Ave,Mass Ave - Central,6432200.0,334.3139293139293,643.4232149366447,Central Square,True,False
8442,897 Massachusetts Ave,Mass Ave - Central,1825300.0,720.6079747335176,662.5458580995042,Central Square,True,False
8452,901 Massachusetts Ave,Mass Ave - Central,1972400.0,254.7004132231405,686.0782587894265,Central Square,True,False
8453,875 Massachusetts Ave,Mass Ave - Central,,,563.5146340341158,Central Square,True,False
8455,875 Massachusetts Ave,Mass Ave - Central,463700.0,746.6988727858293,563.5146340341158,Central Square,True,False
8456,875 Massachusetts Ave,Mass Ave - Central,256300.0,594.6635730858469,563.5146340341158,Central Square,True,False
8457,875 Massachusetts Ave,Mass Ave - Central,351300.0,600.5128205128206,563.5146340341158,Central Square,True,False
8458,875 Massachusetts Ave,Mass Ave - Central,251600.0,594.7990543735225,563.5146340341158,Central Square,True,False
8459,875 Massachusetts Ave,Mass Ave - Central,362800.0,594.7540983606557,563.5146340341158,Central Square,True,False
8460,875 Massachusetts Ave,Mass Ave - Central,293800.0,594.7368421052631,563.5146340341158,Central Square,True,False
8461,875 Massachusetts Ave,Mass Ave - Central,694800.0,683.1858407079646,563.5146340341158,Central Square,True,False
8462,875 Massachusetts Ave,Mass Ave - Central,400600.0,669.8996655518395,563.5146340341158,Central Square,True,False
8463,875 Massachusetts Ave,Mass Ave - Central,360400.0,594.7194719471947,563.5146340341158,Central Square,True,False
8464,875 Massachusetts Ave,Mass Ave - Central,338200.0,684.6153846153846,563.5146340341158,Central Square,True,False
8465,875 Massachusetts Ave,Mass Ave - Central,604800.0,594.6902654867257,563.5146340341158,Central Square,True,False
8466,875 Massachusetts Ave,Mass Ave - Central,356800.0,594.6666666666666,563.5146340341158,Central Square,True,False
8467,875 Massachusetts Ave,Mass Ave - Central,361600.0,594.7368421052631,563.5146340341158,Central Square,True,False
8468,875 Massachusetts Ave,Mass Ave - Central,292600.0,594.7154471544716,563.5146340341158,Central Square,True,False
8469,875 Massachusetts Ave,Mass Ave - Central,257500.0,594.6882217090069,563.5146340341158,Central Square,True,False
8470,875 Massachusetts Ave,Mass Ave - Central,347900.0,594.7008547008547,563.5146340341158,Central Square,True,False
8471,875 Massachusetts Ave,Mass Ave - Central,356200.0,594.6577629382303,563.5146340341158,Central Square,True,False
8472,875 Massachusetts Ave,Mass Ave - Central,362800.0,594.7540983606557,563.5146340341158,Central Square,True,False
8473,875 Massachusetts Ave,Mass Ave - Central,292600.0,594.7154471544716,563.5146340341158,Central Square,True,False
8474,875 Massachusetts Ave,Mass Ave - Central,721700.0,710.3346456692914,563.5146340341158,Central Square,True,False
