,SPATIAL_INVESTMENT_SCORE,SPATIAL_INVESTMENT_SCORE,SPATIAL_INVESTMENT_SCORE,TOTAL_VALUE,DISTANCE_TO_RED_LINE
,mean,max,count,mean,mean
CORRIDOR_SEGMENT,,,,,
Central Square Area,32.64,55.0,110,587699.73,1372.47
Harvard Square Area,33.31,75.0,130,607447.45,1312.31
Porter Square Area,32.23,75.0,253,602460.77,1445.56
