,TOTAL_VALUE,TOTAL_VALUE,TOTAL_VALUE,TOTAL_VALUE,PRICE_PER_SQFT,PRICE_PER_SQFT,RED_LINE_DISTANCE,RED_LINE_DISTANCE,GROSS_AREA,GROSS_AREA
,count,mean,median,sum,mean,median,mean,median,mean,median
CORRIDOR_SEGMENT,,,,,,,,,,
Main St - Central,34,23631058.82,2377200.0,803456000.0,964.65,377.16,656.25,623.42,20805.51,3904.0
Main St - Kendall,25,191113708.0,179860100.0,4777842700.0,1251.26,913.81,406.74,408.14,184489.32,205375.5
Mass Ave - Central,438,9860946.12,771850.0,4319094400.0,791.73,830.94,638.69,563.51,10001.31,813.0
Mass Ave - Harvard,477,113454627.78,723400.0,54117857450.0,868.83,820.64,672.58,692.45,6851.33,915.0
Mass Ave - Other,386,1467203.24,681100.0,566340450.0,661.8,664.62,801.55,689.2,3011.72,1048.0
Mass Ave - Porter,188,4192678.19,942500.0,788223500.0,865.36,704.37,364.77,305.67,7151.75,1154.0
