PROPERTY_ID,ADDRESS,PROPERTY_TYPE,LOT_SIZE,LATITUDE,LONGITUDE,TOTAL_VALUE,LAND_VALUE,BUILDING_VALUE,GROSS_AREA,YEAR_BUILT,BUILDING_AGE,NEIGHBORHOOD,USE_CODE,TAX_STATUS,CONDO_FLAG,CORRIDOR_SEGMENT
94-89,99 Brookline St,THREE-FM-RES,1866.0,42.36148842196526,-71.1039377590112,,,,,,,5.0,105,,True,Central Square Area
181-20,29 Blake St,SNGL-FAM-RES,4135.0,42.391734050803805,-71.1214560644331,,,,,,,11.0,101,,False,Porter Square Area
146-79,81 Irving St,SNGL-FAM-RES,6469.0,42.377485358730034,-71.11092369302455,,,,,,,8.0,101,,False,Porter Square Area
127-169,143 Pleasant St,>8-UNIT-APT,16410.0,42.36044758521617,-71.1128860240716,,,,,,,5.0,112,,True,Central Square Area
201-126,44 Mt Pleasant St,SNGL-FAM-RES,1935.0,42.387910141326635,-71.12491704294949,,,,,,,9.0,101,,False,Porter Square Area
126-173,195-207 River St,>8-UNIT-APT,56706.0,42.36342912802878,-71.11136382315932,,,,,,,7.0,112,Authority NonTax,False,Central Square Area
201-113,92 Richdale Ave,>8-UNIT-APT,7498.0,42.38860261448842,-71.12463720905293,,,,,,,9.0,112,,False,Porter Square Area
130-121,32 Flagg St,Parklands,62380.0,42.36745439911091,-71.11564908050175,,,,,,,7.0,920,City NonTax,False,Harvard Square Area
140-91,104 Trowbridge St,4-8-UNIT-APT,7259.0,42.376361211181965,-71.10933626101959,,,,,,,6.0,111,,True,Porter Square Area
149-100,74 Sacramento St,TWO-FAM-RES,3450.0,42.38272119928406,-71.11282906333747,,,,,,,8.0,104,,False,Porter Square Area
75-99,123 Cherry St,4-8-UNIT-APT,6700.0,42.36548324080901,-71.09720848182252,,,,,,,4.0,111,,False,Central Square Area
115-49,12 Merrill St,THREE-FM-RES,3250.0,42.371437188747606,-71.10745142506963,,,,,,,6.0,105,,False,Harvard Square Area
129-21,215 Putnam Ave,>8-UNIT-APT,5840.0,42.36421729136379,-71.11402228222192,,,,,,,7.0,112,,False,Central Square Area
